quarter,course_number,section_number,title,schedule,description,program,school_id
Winter 2021,36106,85,Managerial Decision Modeling,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/baris.ata/36106_syllabus.pdf,Weekend MBA,1
Spring 2021,36106,1,Managerial Decision Modeling,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/varun.gupta/36106_syllabus.pdf,Full-Time MBA,1
Spring 2021,36106,81,Managerial Decision Modeling,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/varun.gupta/36106_syllabus.pdf,Evening MBA,1
Spring 2021,36109,1,Advanced Decision Models with Python,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/donald.eisenstein/36109_syllabus.pdf,Full-Time MBA,1
Spring 2021,36109,81,Advanced Decision Models with Python,F 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/donald.eisenstein/36109_syllabus.pdf,Evening MBA,1
Spring 2021,36109,85,Advanced Decision Models with Python,S 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/donald.eisenstein/36109_syllabus.pdf,Weekend MBA,1
Autumn 2020,36110,1,Application Development,TH 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/raghu.betina/36110_syllabus.pdf,Full-Time MBA,1
Autumn 2020,36110,85,Application Development,S 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/raghu.betina/36110_syllabus.pdf,Weekend MBA,1
Winter 2021,36110,1,Application Development,M 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/raghu.betina/36110_syllabus.pdf,Full-Time MBA,1
Spring 2021,36110,1,Application Development,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/raghu.betina/36110_syllabus.pdf,Full-Time MBA,1
Spring 2021,36110,2,Application Development,TH 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/raghu.betina/36110_syllabus.pdf,Full-Time MBA,1
Summer 2021,36110,81,Application Development,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/raghu.betina/36110_syllabus.pdf,Evening MBA,1
Spring 2021,36111,81,Application Development II,TH 6:00PM-9:00PM,0,Evening MBA,1
Autumn 2020,36600,60,Workshop in Operations/Management Science,T 12:10PM-1:20PM,0,Workshop,1
Spring 2021,36600,60,Workshop in Operations/Management Science,T 12:10PM-1:20PM,0,Workshop,1
Summer 2021,36820,88,Application Domain Modeling,EMBA2 7:00AM-10:00AM,0,Executive MBA North America,1
Autumn 2020,36900,50,Linear Programming,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/linwei.xin/36900_syllabus.pdf,PhD Program,1
Spring 2021,36902,50,Dynamic Programming/Markov Decision Processes,F 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/rene.caldentey/36902_syllabus.pdf,PhD Program,1
Winter 2021,36903,1,Convex Optimization,MW 4:10PM-5:30PM,0,PhD Program,1
Autumn 2020,36906,50,Stochastic Processes,T 8:30AM-11:30AM,0,PhD Program,1
Winter 2021,36912,50,Stochastic Optimization,F 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/john.birge/36912_syllabus.pdf,PhD Program,1
Spring 2021,36913,50,Online Optimization,F 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/varun.gupta/36913_syllabus.pdf,PhD Program,1
Winter 2021,36914,50,Queueing Theory,WF 1:00PM-2:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/yuan.zhong/36914_syllabus.pdf,PhD Program,1
Winter 2021,36917,50,Networks and Markets,M 10:30AM-1:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ozan.candogan/36917_syllabus.pdf,PhD Program,1
Autumn 2020,37000,1,Marketing Strategy,W 1:30PM-2:50PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anita.rao/37000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,37000,2,Marketing Strategy,W 3:10PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anita.rao/37000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,37000,3,Marketing Strategy,M 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/berkeley.dietvorst/37000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,37000,4,Marketing Strategy,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/berkeley.dietvorst/37000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,37000,81,Marketing Strategy,W 6:00PM-7:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anita.rao/37000_syllabus.pdf,Evening MBA,1
Autumn 2020,37000,82,Marketing Strategy,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/berkeley.dietvorst/37000_syllabus.pdf,Evening MBA,1
Winter 2021,37000,1,Marketing Strategy,F 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/avner.shlain/37000_syllabus.pdf,Full-Time MBA,1
Winter 2021,37000,2,Marketing Strategy,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/abigail.sussman/37000_syllabus.pdf,Full-Time MBA,1
Winter 2021,37000,3,Marketing Strategy,TH 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/abigail.sussman/37000_syllabus.pdf,Full-Time MBA,1
Winter 2021,37000,81,Marketing Strategy,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/chris.krohn/37000_syllabus.pdf,Evening MBA,1
Winter 2021,37000,82,Marketing Strategy,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/tom.hafen/37000_syllabus.pdf,Evening MBA,1
Winter 2021,37000,85,Marketing Strategy,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/tom.hafen/37000_syllabus.pdf,Weekend MBA,1
Spring 2021,37000,1,Marketing Strategy,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/bradley.shapiro/37000_syllabus.pdf,Full-Time MBA,1
Spring 2021,37000,2,Marketing Strategy,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/bradley.shapiro/37000_syllabus.pdf,Full-Time MBA,1
Spring 2021,37000,81,Marketing Strategy,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/bradley.shapiro/37000_syllabus.pdf,Evening MBA,1
Summer 2021,37000,81,Marketing Strategy,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sanjay.dhar/37000_syllabus.pdf,Evening MBA,1
Summer 2021,37000,85,Marketing Strategy,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sanjay.dhar/37000_syllabus.pdf,Weekend MBA,1
Winter 2021,37101,1,Consumer Behavior,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/celia.gaertig/37101_syllabus.pdf,Full-Time MBA,1
Winter 2021,37101,81,Consumer Behavior,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/celia.gaertig/37101_syllabus.pdf,Evening MBA,1
Spring 2021,37101,1,Consumer Behavior,TH 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/daniel.bartels/37101_syllabus.pdf,Full-Time MBA,1
Spring 2021,37101,81,Consumer Behavior,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/daniel.bartels/37101_syllabus.pdf,Evening MBA,1
Spring 2021,37101,85,Consumer Behavior,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/daniel.bartels/37101_syllabus.pdf,Weekend MBA,1
Spring 2021,37103,1,Data-Driven Marketing,TH 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/guenter.hitsch/37103_syllabus.pdf,Full-Time MBA,1
Spring 2021,37103,81,Data-Driven Marketing,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/guenter.hitsch/37103_syllabus.pdf,Evening MBA,1
Autumn 2020,37105,1,Data Science for Marketing Decision Making,F 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/guenter.hitsch/37105_syllabus.pdf,Full-Time MBA,1
Autumn 2020,37105,81,Data Science for Marketing Decision Making,F 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/guenter.hitsch/37105_syllabus.pdf,Evening MBA,1
Winter 2021,37107,1,Experimental Marketing,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/oleg.urminsky/37107_syllabus.pdf,Full-Time MBA,1
Summer 2021,37107,81,Experimental Marketing,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/oleg.urminsky/37107_syllabus.pdf,Evening MBA,1
Autumn 2020,37200,85,New Products and Services,S 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/craig.terrill/37200_syllabus.pdf,Weekend MBA,1
Winter 2021,37200,81,New Products and Services,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/arthur.middlebrooks/37200_syllabus.pdf,Evening MBA,1
Winter 2021,37201,1,Lab in Developing New Products and Services,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/arthur.middlebrooks/37201_syllabus.pdf,Full-Time MBA,1
Winter 2021,37201,81,Lab in Developing New Products and Services,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/arthur.middlebrooks/37201_syllabus.pdf,Evening MBA,1
Spring 2021,37201,81,Lab in Developing New Products and Services,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/craig.terrill/37201_syllabus.pdf,Evening MBA,1
Spring 2021,37201,82,Lab in Developing New Products and Services,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/craig.terrill/37201_syllabus.pdf,Evening MBA,1
Winter 2021,37202,1,Pricing Strategies,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sarah.moshary/37202_syllabus.pdf,Full-Time MBA,1
Winter 2021,37202,81,Pricing Strategies,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sarah.moshary/37202_syllabus.pdf,Evening MBA,1
Spring 2021,37202,1,Pricing Strategies,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/jean-pierre.dube/37202_syllabus.pdf,Full-Time MBA,1
Spring 2021,37202,81,Pricing Strategies,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/jean-pierre.dube/37202_syllabus.pdf,Evening MBA,1
Spring 2021,37202,85,Pricing Strategies,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/jean-pierre.dube/37202_syllabus.pdf,Weekend MBA,1
Autumn 2020,37301,81,Digital Marketing ,F 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/lil.mohan/37301_syllabus.pdf,Evening MBA,1
Winter 2021,37304,1,Digital and Algorithmic Marketing,F 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sanjog.misra/37304_syllabus.pdf,Full-Time MBA,1
Autumn 2020,37601,60,Marketing Workshop,T 10:40AM-12:00PM,0,Workshop,1
Winter 2021,37601,60,Marketing Workshop,T 10:40AM-12:00PM,0,Workshop,1
Spring 2021,37601,60,Marketing Workshop,T 10:40AM-12:00PM,0,Workshop,1
Autumn 2020,37703,85,Digital Marketing Lab,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/lil.mohan/37703_syllabus.pdf,Weekend MBA,1
Spring 2021,37704,1,Algorithmic Marketing Lab,W 8:30AM-11:30AM,0,Full-Time MBA,1
Summer 2021,37802,87,Pricing Strategies,EMBA1 7:00AM-10:00AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/jean-pierre.dube/37802_syllabus.pdf,Executive MBA North America,1
Summer 2021,37810,88,New Product Development,EMBA1 7:00AM-10:00AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sanjay.dhar/37810_syllabus.pdf,Executive MBA North America,1
Summer 2021,37816,88,Consumer Behavior,EMBA2 7:00AM-10:00AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/daniel.bartels/37816_syllabus.pdf,Executive MBA North America,1
