professor_id,course_id
1,1
3,2
3,3
4,4
4,5
5,6
5,7
4,8
3,9
4,10
5,11
6,12
6,13
7,14
8,15
8,16
7,17
7,18
9,19
9,20
10,21
10,22
10,23
11,24
11,25
12,26
12,27
13,28
13,29
13,30
14,31
15,32
15,33
15,34
16,35
16,36
17,37
17,38
16,39
16,40
16,41
18,42
18,43
18,44
19,45
19,46
19,47
20,48
20,49
20,50
21,51
21,52
22,53
23,54
23,55
23,56
7,57
7,58
7,59
19,60
24,61
25,62
18,63
26,64
27,65
28,66
29,67
26,68
27,69
29,70
28,71
26,72
27,73
30,74
29,75
31,76
31,77
31,78
32,79
32,80
32,81
32,82
33,83
34,84
34,85
35,86
36,87
35,88
35,89
37,90
37,91
38,92
38,93
39,94
40,95
40,96
41,97
41,98
38,99
39,100
40,101
39,102
42,103
42,104
42,105
43,106
43,107
43,108
44,109
44,110
45,111
45,112
46,113
46,114
46,115
46,116
47,117
47,118
47,119
48,120
49,121
49,122
48,123
50,124
50,125
51,126
51,127
52,128
52,129
40,130
40,131
49,132
53,133
54,134
54,135
54,136
55,137
52,138
56,139
56,140
56,141
57,142
57,143
58,144
58,145
58,146
58,147
59,148
59,149
59,150
59,151
60,152
60,153
60,154
61,155
61,156
61,157
62,158
62,159
63,160
63,161
64,162
64,163
64,164
65,165
54,166
66,167
63,168
47,169
60,170
45,171
67,172
66,173
66,174
66,175
68,176
69,177
40,178
70,179
71,180
72,181
63,182
50,183
47,184
73,185
73,186
73,187
74,188
74,189
75,190
75,191
74,192
76,193
77,194
76,195
77,196
76,197
76,198
77,199
76,200
78,201
78,202
78,203
73,204
79,205
74,206
74,207
74,208
74,209
78,210
78,211
80,212
80,213
80,214
80,215
80,216
81,217
81,218
81,219
81,220
82,221
83,222
83,223
84,224
85,225
16,226
16,227
58,228
79,229
79,230
86,231
87,232
88,233
88,234
89,235
89,236
83,237
90,238
78,239
91,240
92,241
93,242
94,243
95,244
95,245
95,246
96,247
97,248
96,249
97,250
96,251
98,252
98,253
98,254
97,255
97,256
99,257
99,258
99,259
91,260
91,261
100,262
101,263
101,264
101,265
102,266
102,267
1,268
1,269
92,270
92,271
95,272
103,273
103,274
103,275
104,276
104,277
105,278
105,279
105,280
104,281
106,282
106,283
106,284
107,285
107,286
108,287
108,288
108,289
109,290
110,291
110,292
93,293
93,294
111,295
111,296
111,297
112,298
112,299
112,300
94,301
94,302
33,303
33,304
113,305
96,306
92,307
114,308
115,309
115,310
1,311
116,312
117,313
102,314
118,315
75,316
113,317
113,318
113,319
119,320
119,321
119,322
120,323
120,324
120,325
121,326
121,327
122,328
122,329
122,330
123,331
123,332
123,333
123,334
123,335
123,336
123,337
121,338
121,339
123,340
124,341
125,342
126,343
120,344
127,345
121,346
128,347
129,348
130,349
130,350
131,351
131,352
130,353
131,354
132,355
133,356
133,357
134,358
135,359
135,360
136,361
136,362
136,363
137,364
137,365
138,366
138,367
139,368
139,369
139,370
140,371
140,372
140,373
140,374
141,375
141,376
142,377
143,378
143,379
143,380
142,381
142,382
144,383
144,384
145,385
145,386
145,387
146,388
147,389
140,390
131,391
133,392
146,393
147,394
145,395
137,396
139,397
148,398
148,399
133,400
145,401
141,402
147,403
141,404
139,405
149,406
149,407
149,408
150,409
150,410
151,411
151,412
151,413
152,414
152,415
152,416
153,417
153,418
153,419
154,420
154,421
154,422
155,423
155,424
155,425
156,426
156,427
156,428
157,429
157,430
158,431
157,432
158,433
159,434
160,435
161,436
159,437
160,438
161,439
161,440
161,441
161,442
161,443
162,444
163,445
163,446
163,447
164,448
162,449
162,450
153,451
153,452
165,453
165,454
165,455
166,456
166,457
167,458
167,459
167,460
168,461
168,462
151,463
163,464
151,465
166,466
165,467
165,468
169,469
169,470
152,471
153,472
166,473
170,474
171,475
37,476
172,477
172,478
172,479
173,480
173,481
173,482
90,483
90,484
90,485
125,486
125,487
129,488
129,489
129,490
128,491
124,492
124,493
128,494
124,495
174,496
174,497
175,498
175,499
127,500
125,501
176,502
176,503
174,504
177,505
177,506
177,507
178,508
176,509
179,510
179,511
180,512
180,513
180,514
181,515
182,516
182,517
181,518
183,519
183,520
184,521
184,522
185,523
185,524
186,525
187,526
187,527
188,528
186,529
187,530
186,531
188,532
188,533
189,534
189,535
189,536
190,537
190,538
191,539
191,540
192,541
193,542
193,543
193,544
194,545
194,546
194,547
180,548
195,549
187,550
182,551
188,552
195,553
192,554
191,555
181,556
70,557
196,558
196,559
65,560
65,561
70,562
196,563
44,564
66,565
69,566
69,567
66,568
69,569
197,570
198,571
197,572
198,573
198,574
59,575
59,576
59,577
59,578
199,579
199,580
68,581
68,582
68,583
200,584
200,585
200,586
200,587
200,588
200,589
201,590
201,591
202,592
202,593
202,594
202,595
87,596
87,597
203,598
204,599
204,600
205,601
202,602
206,603
32,604
87,605
87,606
207,607
202,608
202,609
41,610
41,611
90,612
201,613
201,614
208,57
208,58
208,59
209,79
209,80
209,81
209,82
52,132
45,138
69,165
68,166
214,167
62,168
216,171
184,62
217,217
222,218
223,218
225,219
226,220
227,220
231,221
240,95
241,117
242,113
291,225
292,225
306,112
307,94
308,228
316,105
317,92
318,92
319,92
338,129
339,129
390,141
391,132
392,234
401,140
402,147
463,161
465,161
471,160
472,163
473,158
476,159
548,182
550,243
601,244
245,226
245,227
246,316
75,317
75,318
75,319
