id,last_name,first_name,bio,
73,Meadow,Scott,http://www.chicagobooth.edu/faculty/directory/m/scott-f-meadow,
74,Zwick,Eric,http://www.chicagobooth.edu/faculty/directory/z/eric-zwick,
75,Schrager,James,http://www.chicagobooth.edu/faculty/directory/s/james-e-schrager,
76,Bunch,Gregory,http://www.chicagobooth.edu/faculty/directory/b/gregory-d-bunch,
77,Lyman,Lindsey,http://www.chicagobooth.edu/faculty/directory/l/lindsey-lyman,
78,Tebbe,Mark,http://www.chicagobooth.edu/faculty/directory/t/mark-tebbe,
79,Alter,Michael,http://www.chicagobooth.edu/faculty/directory/a/michael-alter,
80,Gertner,Robert,http://www.chicagobooth.edu/faculty/directory/g/robert-h-gertner,
81,Rapp,Alyssa,http://www.chicagobooth.edu/faculty/directory/r/alyssa-rapp,
82,O'Connor,Brian,http://www.chicagobooth.edu/faculty/directory/o/brian-o-connor,
83,Ritchie,Stephen,http://www.chicagobooth.edu/faculty/directory/r/stephen-ritchie,
84,Fleetwood,Margaret,http://www.chicagobooth.edu/faculty/directory/f/margaret-fleetwood,
85,Blumberg,Jason,http://www.chicagobooth.edu/faculty/directory/b/jason-r-blumberg,
86,Hachikian,Christina,http://www.chicagobooth.edu/faculty/directory/h/christina-hachikian,
87,Deutsch,Waverly,http://www.chicagobooth.edu/faculty/directory/d/waverly-deutsch,
88,Wolcott,Robert,http://www.chicagobooth.edu/faculty/directory/w/robert-c-wolcott,
89,Knez,Marc,http://www.chicagobooth.edu/faculty/directory/k/marc-knez,
90,Constantinides,George,http://www.chicagobooth.edu/faculty/directory/c/george-m-constantinides,
91,Koijen,Ralph,http://www.chicagobooth.edu/faculty/directory/k/ralph-s-j-koijen,
92,Diamond,Douglas,http://www.chicagobooth.edu/faculty/directory/d/douglas-w-diamond,
93,Sufi,Amir,http://www.chicagobooth.edu/faculty/directory/s/amir-sufi,
94,Heaton,John,http://www.chicagobooth.edu/faculty/directory/h/john-c-heaton,
95,Weber,Michael,http://www.chicagobooth.edu/faculty/directory/w/michael-weber,
96,Chinco,Alex,http://www.chicagobooth.edu/faculty/directory/c/alex-chinco,
97,Gormsen,Niels,http://www.chicagobooth.edu/faculty/directory/g/niels-gormsen,
98,Bhattacharya,Ayan,http://www.chicagobooth.edu/faculty/directory/b/ayan-bhattacharya,
99,Belton,Terrence,http://www.chicagobooth.edu/faculty/directory/b/terrence-m-belton,
100,Pastor,Lubos,http://www.chicagobooth.edu/faculty/directory/p/lubos-pastor,
101,Hartzmark,Samuel,http://www.chicagobooth.edu/faculty/directory/h/samuel-hartzmark,
102,Nelson,Scott,http://www.chicagobooth.edu/faculty/directory/n/scott-nelson,
103,Kempf,Elisabeth,http://www.chicagobooth.edu/faculty/directory/k/elisabeth-kempf,
104,Noel,Pascal,http://www.chicagobooth.edu/faculty/directory/n/pascal-noel,
105,Jeffers,Jessica,http://www.chicagobooth.edu/faculty/directory/j/jessica-jeffers,
106,Vermaelen,Theo,http://www.chicagobooth.edu/faculty/directory/v/theo-vermaelen,
107,Born,Laura,http://www.chicagobooth.edu/faculty/directory/b/laura-m-born,
108,Mitchell,Mark,http://www.chicagobooth.edu/faculty/directory/m/mark-l-mitchell,
109,Hadlock,Charles,http://www.chicagobooth.edu/faculty/directory/h/charles-j-hadlock,
110,Rajan,Raghuram,http://www.chicagobooth.edu/faculty/directory/r/raghuram-g-rajan,
111,Colonnelli,Emanuele,http://www.chicagobooth.edu/faculty/directory/c/emanuele-colonnelli,
112,He,Zhiguo,http://www.chicagobooth.edu/faculty/directory/h/zhiguo-he,
113,Yannelis,Constantine,http://www.chicagobooth.edu/faculty/directory/y/constantine-yannelis,
114,Staff,,0,
115,Veronesi,Pietro,http://www.chicagobooth.edu/faculty/directory/v/pietro-veronesi,
116,Nagel,Stefan,http://www.chicagobooth.edu/faculty/directory/n/stefan-nagel,
117,Fama,Eugene,http://www.chicagobooth.edu/faculty/directory/f/eugene-f-fama,
118,Sandikci,Burhaneddin,http://www.chicagobooth.edu/faculty/directory/s/burhaneddin-sandikci,
119,Ata,Baris,http://www.chicagobooth.edu/faculty/directory/a/baris-ata,
120,Gupta,Varun,http://www.chicagobooth.edu/faculty/directory/g/varun-gupta,
121,Eisenstein,Donald,http://www.chicagobooth.edu/faculty/directory/e/donald-d-eisenstein,
122,Betina,Raghu,http://www.chicagobooth.edu/faculty/directory/b/raghu-betina,
123,Xin,Linwei,http://www.chicagobooth.edu/faculty/directory/x/linwei-xin,
124,Caldentey,Rene,http://www.chicagobooth.edu/faculty/directory/c/rene-caldentey,
125,Anitescu,Mihai,0,
126,Birge,John,http://www.chicagobooth.edu/faculty/directory/b/john-r-birge,
127,Zhong,Yuan,http://www.chicagobooth.edu/faculty/directory/z/yuan-zhong,
128,Candogan,Ozan,http://www.chicagobooth.edu/faculty/directory/c/ozan-candogan,
129,Rao,Anita,http://www.chicagobooth.edu/faculty/directory/r/anita-rao,
130,Dietvorst,Berkeley,http://www.chicagobooth.edu/faculty/directory/d/berkeley-j-dietvorst,
131,Strulov-Shlain,Avner,http://www.chicagobooth.edu/faculty/directory/s/avner-strulov-shlain,
132,Sussman,Abigail,http://www.chicagobooth.edu/faculty/directory/s/abigail-sussman,
133,Krohn,Christopher,http://www.chicagobooth.edu/faculty/directory/k/christopher-e-krohn,
134,Hafen,Tom,http://www.chicagobooth.edu/faculty/directory/h/tom-hafen,
135,Shapiro,Bradley,http://www.chicagobooth.edu/faculty/directory/s/bradley-shapiro,
136,Dhar,Sanjay,http://www.chicagobooth.edu/faculty/directory/d/sanjay-k-dhar,
137,Gaertig,Celia,http://www.chicagobooth.edu/faculty/directory/g/celia-gaertig,
138,Bartels,Daniel,http://www.chicagobooth.edu/faculty/directory/b/daniel-bartels,
139,Hitsch,Guenter,http://www.chicagobooth.edu/faculty/directory/h/guenter-j-hitsch,
140,Urminsky,Oleg,http://www.chicagobooth.edu/faculty/directory/u/oleg-urminsky,
141,Terrill,Craig,http://www.chicagobooth.edu/faculty/directory/t/craig-a-terrill,
